name,new name,number
"""Adler"", ""Shelley""","Adler, Shelley",H2NJ03183
"Adler, Shelley","Adler, Shelley",H2NJ03183
H0MO02148,"Akin, Todd",S2MO00429
"Alan, Grayson","Alan, Grayson",H6FL08213
S0NV00237,"Amodei, Mark",H2NV02395
"BUERKLE, ANNE MARIE","Ann Marie, Buerkle",H0NY25078
"Tammy, Baldwin","Baldwin, Tammy",H8WI00018
H8WI00018,"Baldwin, Tammy",S2WI00219
"Barbara, Lee","Barbara, Lee",H8CA09060
"Benishek , Dan","Benishek , Dan",H0MI01088
"Berkeley, Shelley","Berkley, Shelley",S2NV00209
H8NV01071 ,"Berkley, Shelley",S2NV00209
"Bernie, Sanders","Bernie, Sanders",S4VT00033
"Bob, Kerrey","Bob, Kerrey",H2MI11133
"Boehner, John","Boehner, John",H0OH08029
"Bruce, Braley","Braley, Bruce",H6IA01098
H6IA01098,"Braley, Bruce",H6IA01098
"BRIGHT, BOBBY","Bright, Bobby",H8AL02130
H2OH13033,"Brown, Sherrod",S6OH00163
"Buschon, Larry","Bucshon, Larry",H0IN08114
"Byberg, Lee","Byberg, Lee",H0MN07059
"""Quico"" Canseco, Francisco","Canseco, Fransisco",H4TX28046
"Canseco, Quico","Canseco, Fransisco",H4TX28046
"Cansseco, Quico","Canseco, Fransisco",H4TX28046
"Maria, Cantwell","Cantwell, Maria",S8WA00194
"""Cardon"", ""Wil""","Cardon, Willford",S2AZ00190
"Carmona, Richard","Carmona, Richard",S2AZ00232
"Casey, Bob","Casey, Bob",S6PA00217
"Chellie, Pingree","Chellie, Pingree",H8ME01120
"Collins, Christopher","Christopher, Collins",H8NY29032
"CLARKE, HANSEN","Clarke, Hansen",H0MI13398
"Cohen, Steve","Cohen, Steve",H6TN09068
"Connolly, Gerald","Connolly, Gerald",H8VA11062
"Gerry, Connolly ","Connolly, Gerald",H8VA11062
"CONYERS, JOHN","Conyers, John",H6MI01028
"Conyers, John","Conyers, John",H6MI01028
"Coors, Joseph","Coors, Joseph",H2CO07121
"Costa, Jim","Costa, Jim",H4CA20082
"crawford, rick","Crawford, Rick",H0AR01083
"Elijah, Cummings ","Cummings, Elijah",H6MD07160
S2MT00096,"Daines, Stephen",H2MT01060
"David, Rodney","Davis, Rodney",H2IL13120
"Davis, Rodney","Davis, Rodney",H2IL13120
"Suzan, Delbene","Delbene, Suzan",H0WA08046
"Delbene, Suzan Kay","Delbene, Suzan Kay",H0WA08046
"DeLong, Gary","Delong, Gary",H2CA47105
"""Demings"", ""Val""","Demings, Val",H2FL08063
"demings, val","Demings, Val",H2FL08063
"Demings, Val","Demings, Val",H2FL08063
"Denny, Heck","Denny, Heck",H0WA03161
"Dixon, Timothy","Dixon, Timothy",H2TN08127
"Donalds, Byron","Donalds, Byron",H2FL14186
"Donnelly, Joe","Donnelly, Joe",H4IN02101
H4IN02101 ,"Donnelly, Jose",S2IN00091
"Donnelly, Joseph Simon Mr.","Donnelly, Joseph Simon",S2IN00091
"Duckworth, Tamy","Duckworth, Tamy",H6IL06141
"Tammy, Duckworth","Duckworth, Tamy",H6IL06141
"Donna, Edwards ","Edwards, Donna",H6MD04183
"Elizabeth, Warren","Elizabeth, Warren",S2MA00170
"Emken, Elizabeth","Emken, Elizabeth",S2CA00641
"Sam, Farr","Farr, Sam",H4CA17021
"Dianne, Feinstein","Feinstein, Dianne",S0CA00199
"Feinstein, Diane","Feinstein, Dianne",S0CA00199
H0AZ01184,"Flake, Jeff",S2AZ00141
"""Gallego"", ""Pete""","Gallego, Pete",H2TX23124
"""GALLEGO"", ""PETE""","Gallego, Pete",H2TX23124
"Gardner, Cory","Gardner, Cory",H0CO04122
"George, Miller ","George, Miller ",H6CA07043
"David, Gill","Gill, David",H4IL15055
"Gillan, Kim","Gillan, Kim",H2MT00047
"grimm, michael","Grimm, Michael",H0NY13074
S2FL00250,"Hasner, Adam",H2FL22098
"Heck, Joseph","Heck, Joseph",H0NV03058
H8NM01224,"Heinrich, Martin",S2NM00088
"Himes, Jim","Himes, Jim",H8CT04172 
"Hirono, Mazie","Hirono, Mazie",S2HI00106
"Mazie, Hirono","Hirono, Mazie",S2HI00106
H6HI02251 ,"Hirono, Mazie",S2HI00106
"Hoekstra, Pete","Hoekstra, Pete",S2MI00193
H2MI02066 ,"Hoekstra, Peter",S2MI00193
"HOWELL, JASON","Howell, Jason",H2VA08129
"Imus, Gregg","Imus, Gregg",H2CA41116
"Jeff, Flake","Jeff, Flake",S2AZ00141
"Jim, Costa","Jim, Costa",H4CA20082
"Johnson, Gary","Johnson, Gary",P20002671 
"Johnson, Gary ","Johnson, Gary ",P20002671 
"Johnson, Gary Earl","Johnson, Gary Earl",P20002671 
"Josh, Mandel","Josh, Mandel",S2OH00170
"Joyce, Beatty","Joyce, Beatty",H2OH03125
"Kerrey, Bob","Kerrey, Bob",S8NE00067
"King, Steve","King, Steve",H2IA05072
"King, Steven","King, Steven",H2IA05072
"Kirsten, Gillibrand","Kirsten, Gillibrand",S0NY00410
"Koster, John","Koster, John",H0WA02098
"""Kreitlow"", ""Pat""","Kreitlow, Pat",H2WI07065
"CABRAL, KRISTIN","Kristin, Cabral",H2VA10125
"Landry, Jeff","Landry, Jeff",H0LA03141
"LITTLE, ANNA C","Little, Anna C",H0NJ06164
"LOVE, MIA","Love, Mia",H2UT04023
"Alan, Lowenthal ","Lowenthal, Alan ",H2CA00104
S2FL00334,"Mack, Connie",S2FL00334
H4FL14059,"Mack, Connie",S2FL00334
"Maloney, Sean Patrick","Maloney, Sean Patrick",H2NY22139
"Mary, Mack","Mary, Bono Mack",H8CA44034
"James, Matheson","Matheson, James",H0UT02096
"McKaskill, Claire","Mccaskill, Claire",S6MO00305
"""McIntyre"", ""Mike""","McIntire, Mike",H8NC07044
"McMahon, Linda","McMahon, Linda",S0CT00151
"McSally, Marth","McSally, Martha",H2AZ08102
"McSally, Martha","McSally, Martha",H2AZ08102
"Mike, Michaud","Michaud, Mike",H2ME02097
"Mullen, Brendan","Mullen, Brendan",H2IN02204
"Christopher, Murphy","Murphy, Christopher",H6CT05124
"Murphy, Tim","Murphy, Tim",H2NC10082
H2NC10082,"Murphy, Tim",H2PA18143
"Murphy, Tim","Murphy, Tim",H2PA18143
"Nelson, Ben","Nelson, Ben",S6NE00095
"2012, Obama/Biden","Obama, Barack",P80003338
"Obama (2012), Barack","Obama, Barack",P80003338
S2PA00208,"Parker, Vernon",H0AZ03321
"Patsy, Keever","Patsy, Keever",H4NC11052
"Paul, Cook","Paul, Cook",H2CA08164
"Pearce, Steve","Pearce, Steve",H2NM02126
"PERKINS, CHRIS","Perkins, Chris",H2VA11149
"Perlmutter, Ed","Perlmutter, Ed",H6CO07023
"Peter, DeFazio","Peter, DeFazio",H6OR04047
"Peters, Scott","Peters, Scott",H2CA52089
"Jared, Polis","Polis, Jared",H8CO02137
"Raese, John","Raese, John",S4WV00084
"Raul, Ruiz","Raul, Ruiz",H2CA36439
H0MT00033,"Rehberg, Dennis R",S6MT00097
H0MT00033,"Rehberg, Dennis R",S6MT00097
"Richard, Carmona","Richard, Carmona",S2AZ00232
"Rigel, Scott","Rigel, Scott",H0VA02084
"Rob, Zerban","Rob, Zerban",H2WI01084
"Romey, Mitt","Romey, Mitt",P80003353
"Royce, Ed","Royce, Ed",H6CA39020
"Ruiz, Raul","Ruiz, Raul",H2CA36439
"Schweikert, David","Schweikert, David",H4AZ06045 
"shea porter, carol","Shea-Porter, Carol",H6NH01230
"Shea Porter, carol","Shea-Porter, Carol",H6NH01230
"shea portor, carol","Shea-Porter, Carol",H6NH01230
"Sherrod, Brown","Sherrod, Brown",S6OH00163
"""Sinema"", ""Krysten""","Sinma, Krysten",H2AZ09019
"Smith, Tom","Smith, Tom",S2PA00224
"Pete, Stark","Stark, Pete",H6CA09023
"Stark, Pete","Stark, Pete",H6CA09023
H2CA15110,"Stark, Pete",H6CA09023
"Steve, King","Steve, King",H2IA05072
"Sue, Thorn","Sue, Thorn",H2WV01094
"Swalwell, Eric","Swalwell, Eric",H2CA15094
"Taj, Syed","Taj, Syed",H2MI11117
"Thompson, Mike","Thompson, Mike",H8CA01109
"Tim, Ryan","Tim, Ryan",H2OH17109
"Tobin, Andy","Tobin, Andy",H0AZ01325
"Tony, Strickland","Tony, Strickland",H2CA26109
"Tulsi, Gabbard","Tulsi, Gabbard",H2HI02508
"Walz, Tim","Walz, Tim",H6MN01174
"Henry, Waxman","Waxman, Henry",H6CA24048
"Henry, Waxman ","Waxman, Henry",H6CA24048
"WAXMAN, HENRY","WAXMAN, HENRY",H6CA24048
"Weber, Randy","Weber, Randy",H2TX14149
"Young, C.W ""Bill""","Young, C. W. Bill",H6FL06035
"Young, C.W.","Young, C. W. Bill",H6FL06035
"Young, C.W. ""Bill""","Young, C. W. Bill",H6FL06035
"""Zoller"", ""Martha""","Zoller, Martha",H2GA09143
S8FL00034,"Mack, Connie",S8FL00166
H4IN02101,"Donnelly, Joe",S2IN00091
"Donna, Edwards","Edwards, Donna",H6MD04183
"Jackie, Speier","Speier, Jackie",H8CA12171
"Raul, Grijalva","Grijalva, Raul",H2AZ07070
"Chu, Judy","Chu, Judy",H0CA32101
"Elijah, Cummings","Cummings, Elijah",H6MD07160
"Romney, Mary Rose","Romney, Mitt",P80003353
"Kildee, Daniel","Kildee, Daniel",H2MI05119
